Country,Year,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,GDP_per_Capita,Life_Expectancy,Internet_Access,Infant_Mortality,FSI_Category
New Zealand,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Canada,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Iceland,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,High,Low,9_VerySustainable
Australia,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Denmark,2019,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Switzerland,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Norway,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Finland,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
"Yemen, Rep.",2020,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,High,1_VeryHighAlert
Somalia,2020,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
South Sudan,2020,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,High,1_VeryHighAlert
Syrian Arab Republic,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Medium,Medium,Medium,1_VeryHighAlert
"Congo, Dem. Rep.",2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Central African Republic,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Medium,High,1_VeryHighAlert
Chad,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Sudan,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Medium,High,1_VeryHighAlert
Afghanistan,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Zimbabwe,2020,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Burundi,2020,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Cameroon,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Haiti,2020,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Nigeria,2020,High,High,High,High,High,Medium,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Guinea,2020,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Mali,2020,High,Medium,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Iraq,2020,High,High,High,Medium,Medium,High,High,High,High,High,High,High,Medium,Medium,Low,Medium,1_VeryHighAlert
Eritrea,2020,Medium,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Niger,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Libya,2020,High,High,High,High,Medium,Medium,High,High,High,Medium,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
Ethiopia,2020,High,High,High,Medium,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Myanmar,2020,High,High,High,Medium,High,High,High,High,High,Medium,High,High,Low,Low,Low,High,1_VeryHighAlert
Guinea-Bissau,2020,High,High,Medium,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,1_VeryHighAlert
Uganda,2020,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Pakistan,2020,High,High,High,High,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Congo, Rep.",2020,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Mozambique,2020,High,High,Medium,High,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Venezuela, RB",2020,High,High,High,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,1_VeryHighAlert
Kenya,2020,High,High,High,Medium,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Korea, Dem. People's Rep.",2020,High,High,Medium,High,High,Medium,High,High,High,High,Medium,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
Liberia,2020,High,High,Medium,High,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Cote d'Ivoire,2020,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,2_HighAlert
Mauritania,2020,Medium,High,High,High,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,2_HighAlert
Angola,2020,High,High,High,High,High,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Rwanda,2020,Medium,High,High,Medium,High,High,High,Medium,Medium,High,High,Medium,Low,Low,Low,High,2_HighAlert
"Egypt, Arab Rep.",2020,High,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,2_HighAlert
Burkina Faso,2020,High,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Togo,2020,High,High,Medium,High,High,High,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Bangladesh,2020,High,High,High,Medium,Medium,High,High,High,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Lebanon,2020,High,High,High,High,Medium,Medium,High,Medium,High,Medium,High,High,Medium,High,High,Medium,2_HighAlert
Zambia,2020,Medium,Medium,Medium,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,2_HighAlert
Sierra Leone,2020,Medium,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Malawi,2020,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
"Iran, Islamic Rep.",2020,High,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Low,Medium,Medium,Medium,2_HighAlert
Equatorial Guinea,2020,Medium,High,Medium,Medium,High,Medium,High,High,High,High,Medium,Medium,Medium,Low,Low,High,2_HighAlert
Eswatini,2020,Medium,High,Low,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,2_HighAlert
Djibouti,2020,Medium,High,Medium,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,High,2_HighAlert
Timor-Leste,2020,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Nepal,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Papua New Guinea,2020,High,High,Medium,High,High,High,Medium,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
"Gambia, The",2020,Medium,High,Low,High,Medium,High,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Sri Lanka,2020,High,High,High,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Low,Low,2_HighAlert
Comoros,2020,Medium,High,Medium,High,High,Medium,High,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Philippines,2020,High,High,High,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Low,Medium,Low,Medium,2_HighAlert
Cambodia,2020,High,High,Medium,Medium,Medium,High,High,High,High,Medium,Medium,High,Low,Medium,Low,Medium,2_HighAlert
Solomon Islands,2020,Medium,High,Medium,High,High,Medium,Medium,High,Medium,High,Medium,High,Low,Medium,Low,Medium,3_Alert
Madagascar,2020,Medium,High,Low,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,3_Alert
Guatemala,2020,High,High,High,Medium,High,High,Medium,High,High,High,Medium,Medium,Medium,Medium,Low,Medium,3_Alert
Turkiye,2020,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,3_Alert
Lesotho,2020,High,High,Low,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,3_Alert
Tanzania,2020,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,3_Alert
Nicaragua,2020,Medium,High,Medium,Medium,High,High,High,Medium,High,Medium,Medium,High,Low,Medium,Low,Medium,3_Alert
Lao PDR,2020,Medium,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Medium,Low,Low,Low,High,3_Alert
Honduras,2020,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Low,Medium,Low,Medium,3_Alert
